Area,ConvexArea,Extent,Perimeter,Class
87524,90546,0.758650579,1184.04,Kecimen
75166,78789,0.68412957,1121.786,Kecimen
90856,93717,0.637612812,1208.575,Kecimen
45928,47336,0.699599385,844.162,Kecimen
79408,81463,0.792771926,1073.251,Kecimen
49242,51368,0.658456354,881.836,Kecimen
42492,43904,0.665893562,823.796,Kecimen
60952,62329,0.74359819,933.366,Kecimen
42256,44743,0.698030924,849.728,Kecimen
64380,66125,0.664375716,981.544,Kecimen
80437,84460,0.674235757,1176.305,Kecimen
43725,45021,0.697068248,818.873,Kecimen
43441,45133,0.690855598,803.748,Kecimen
76792,78842,0.772322237,1042.77,Kecimen
74167,76807,0.680181585,1084.729,Kecimen
33565,35794,0.68155052,751.413,Kecimen
64670,66419,0.75677257,1028.445,Kecimen
64762,66713,0.694998015,981.509,Kecimen
43295,44714,0.713838189,814.68,Kecimen
70699,72363,0.728075054,1061.321,Kecimen
69726,71849,0.734398534,1035.501,Kecimen
57346,59365,0.723608833,928.272,Kecimen
82028,84427,0.686375085,1106.355,Kecimen
61251,64732,0.643595671,971.769,Kecimen
96277,97865,0.704057157,1181.921,Kecimen
75620,77493,0.726277372,1059.186,Kecimen
73167,74545,0.778736856,1010.474,Kecimen
60847,62492,0.69858783,964.603,Kecimen
81021,82552,0.757559607,1063.868,Kecimen
59902,63250,0.744124224,982.788,Kecimen
88745,90715,0.752063524,1162.877,Kecimen
41809,43838,0.697444367,828.697,Kecimen
75329,77541,0.723079729,1075.792,Kecimen
61600,63397,0.746829611,972.472,Kecimen
46427,48275,0.684219059,844.312,Kecimen
40861,43096,0.743089401,784.912,Kecimen
55827,57724,0.703287982,926.095,Kecimen
54182,56450,0.611417674,968.729,Kecimen
77468,79220,0.721545397,1100.676,Kecimen
49882,50880,0.766377827,843.764,Kecimen
95245,97988,0.75304396,1201.39,Kecimen
71464,73265,0.715484271,1036.94,Kecimen
77055,79255,0.732267077,1095.283,Kecimen
92384,93772,0.749006827,1135.662,Kecimen
77310,80138,0.631720869,1141.189,Kecimen
57580,60232,0.645103465,992.114,Kecimen
69708,71321,0.727177893,1022.568,Kecimen
41502,43114,0.824319225,790.427,Kecimen
45800,47802,0.732682771,870.387,Kecimen
52623,54175,0.675190536,902.624,Kecimen
44939,46400,0.656177905,845.786,Kecimen
114648,118314,0.681904966,1340.897,Kecimen
65727,67372,0.616981132,1030.155,Kecimen
45683,48787,0.634230657,901.102,Kecimen
111450,113256,0.690092879,1298.188,Kecimen
47581,49203,0.667775392,861.58,Kecimen
57127,59943,0.693625546,952.023,Kecimen
53006,55456,0.691695375,936.371,Kecimen
69060,72223,0.727023897,1039.551,Kecimen
25387,26139,0.678144032,619.074,Kecimen
66774,69097,0.692446491,1003.374,Kecimen
47839,50166,0.702770596,868.06,Kecimen
78571,81718,0.642192762,1157.33,Kecimen
64717,66649,0.66254095,997.989,Kecimen
60462,62213,0.665683112,990.547,Kecimen
59370,61464,0.697485902,981.517,Kecimen
54056,55539,0.674553259,912.153,Kecimen
89235,91201,0.655190643,1179.694,Kecimen
51727,52913,0.751889645,903.308,Kecimen
71595,74045,0.718536732,1069.77,Kecimen
95347,99256,0.674956111,1255.245,Kecimen
60449,64346,0.67634488,1054.198,Kecimen
69006,72895,0.697453002,1086.857,Kecimen
137583,142650,0.731637667,1590.354,Besni
117592,123587,0.730067672,1432.006,Besni
95546,99166,0.722782014,1276.807,Besni
96582,100113,0.706597603,1216.979,Besni
61409,67286,0.597392869,1083.477,Besni
154242,158371,0.7216,1530.315,Besni
134303,138133,0.74243622,1497.515,Besni
112378,115602,0.614705496,1366.74,Besni
124579,128307,0.698250157,1373.537,Besni
83107,93706,0.491002009,1367.331,Besni
107178,110611,0.632908552,1325.947,Besni
64391,68813,0.63426911,1177.714,Besni
126781,132802,0.73666198,1552.54,Besni
45051,46532,0.830632225,836.625,Besni
119026,123463,0.615745148,1486.769,Besni
67579,70809,0.70311297,1051.553,Besni
97019,101539,0.573452572,1383.647,Besni
184784,192699,0.645353264,1791.568,Besni
168276,174282,0.681538723,1685.283,Besni
195383,204472,0.728769116,1893.414,Besni
65253,69700,0.66625485,1075.404,Besni
120255,123486,0.723886976,1322.814,Besni
108161,111765,0.707906277,1305.144,Besni
157877,161901,0.641322804,1604.103,Besni
83800,86346,0.657162126,1170.091,Besni
177264,180994,0.683219376,1652.694,Besni
127245,130649,0.679096353,1423.997,Besni
108314,112497,0.686944665,1306.577,Besni
128947,132108,0.604408842,1446.923,Besni
189637,209580,0.613785469,1870.28,Besni
137508,141818,0.60152231,1529.79,Besni
75173,78359,0.67995405,1087.034,Besni
115859,120546,0.742643053,1351.422,Besni
92188,95920,0.747599585,1190.813,Besni
153824,159063,0.739083641,1582.146,Besni
85492,89018,0.723343769,1182.575,Besni
106312,111089,0.729683725,1306.455,Besni
210923,278217,0.507352075,2697.753,Besni
89138,93549,0.738386349,1262.578,Besni
83567,86859,0.609222133,1199.017,Besni
171256,174277,0.70191488,1559.214,Besni
77105,80497,0.668994838,1131.54,Besni
100443,104186,0.673788505,1269.066,Besni
72606,76975,0.683852617,1117.107,Besni
83555,86694,0.711227443,1159.779,Besni
146268,150416,0.695421481,1535.287,Besni
113608,118098,0.627862764,1394.088,Besni
75058,78952,0.685461187,1130.395,Besni
116406,125638,0.526259635,1480.951,Besni
100319,104255,0.639614136,1289.209,Besni
143386,146328,0.750260314,1422.014,Besni
164782,169000,0.757757749,1654.986,Besni
71639,76252,0.642461908,1101.879,Besni
141220,144300,0.659151906,1507.939,Besni
88290,92317,0.555157323,1277.388,Besni
102569,106888,0.573241751,1331.797,Besni
182160,221527,0.379856115,2303.69,Besni
208264,212813,0.771748314,1755.167,Besni
133101,136793,0.582496357,1544.712,Besni
169009,174718,0.716926627,1781.378,Besni
81901,85000,0.583107877,1192.014,Besni
80678,85201,0.607359562,1226.244,Besni
101661,105429,0.713290393,1268.05,Besni
82207,84780,0.629437077,1182.274,Besni
166275,168292,0.719282081,1580.961,Besni
188651,192922,0.747156346,1698.394,Besni
202118,209242,0.717218816,1827.9,Besni
97375,100169,0.694716941,1244.252,Besni
64303,67199,0.686235379,1081.68,Besni
86715,89920,0.735371438,1173.259,Besni
155702,160709,0.697046209,1626.909,Besni
84295,88521,0.708450645,1202.583,Besni
177206,181412,0.739152923,1754.378,Besni
110897,115550,0.7304361,1365.577,Besni
56903,59797,0.718426867,980.39,Besni
